,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status,Longitude,Latitude
14,Ina Grafton Gage Home,40 Bell Estate Rd,LTCH,Respiratory,Coronavirus,2016-12-29,2017-01-09,Inactive,-79.2753435,43.7058073
15,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Respiratory syncytial virus,2016-12-29,2017-01-19,Inactive,-79.2469846,43.7077593
16,St. Joseph's Health Centre - 4E,30 The Queensway,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,2016-12-28,2017-01-04,Inactive,-79.450101,43.639359
17,The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,Influenza A,2016-12-28,2017-01-09,Inactive,-79.3316241,43.66280613333333
18,The Wexford Residence,1860 Lawrence Ave E,LTCH,Respiratory,Influenza A,2016-12-28,2017-01-11,Inactive,-79.3024148,43.7438388
19,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Influenza A,2016-12-28,2017-01-13,Inactive,-79.3726983,43.8083147
20,Delmanor Northtown,5351 Yonge St,Retirement Home,Respiratory,Respiratory syncytial virus,2016-12-28,2017-01-23,Inactive,-79.4142461,43.7752997
21,Better Living at Thompson House,1 Overland Dr,LTCH,Respiratory,Influenza A,2016-12-28,2017-01-10,Inactive,-79.347342,43.732464
22,St. Joseph's Health Centre - 6M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2016-12-27,2017-01-09,Inactive,-79.450101,43.639359
23,Suomi-Koti Toronto Nursing Home - 7th Fl,795 Eglinton Ave E,LTCH,Respiratory,Influenza A,2016-12-27,2017-01-06,Inactive,-79.3669906,43.7129848
24,Bendale Acres - Unit 3,2920 Lawrence Ave E,LTCH,Enteric,Unable to identify,2016-12-26,2017-01-07,Inactive,-79.2516534,43.7543919
25,St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,Influenza A,2016-12-24,2017-01-10,Inactive,-79.4561852,43.7709198
26,Westside,1145 Albion Rd,LTCH,Respiratory,Influenza A,2016-12-24,2017-01-19,Inactive,-79.5667899,43.7373503
27,St. Michael's Hospital - 6 Bond,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A,2016-12-23,2016-12-30,Inactive,-79.3784327,43.6542289
28,McCall Centre For Continuing Care - 2nd & 4th Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Influenza A,2016-12-23,2017-01-07,Inactive,-79.562235,43.610033
29,True Davidson Acres - 2nd  Fl,200 Dawes Rd,LTCH,Enteric,Unable to identify,2016-12-23,2016-12-28,Inactive,-79.298175,43.69582
30,Delmanor Prince Edward - 2nd Fl,4180 Dundas St W,Retirement Home,Respiratory,Influenza A,2016-12-23,2017-01-04,Inactive,-79.50993406250001,43.6609728625
31,Rose Of Sharon Korean Long Term Care Home,17 Maplewood Ave,LTCH,Respiratory,Metapneumovirus,2016-12-22,2017-01-07,Inactive,-79.4217949,43.6858942
32,North York General Hospital - 5 SE,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A,2016-12-21,2016-12-29,Inactive,-79.362213,43.7699003
33,Forest Hill Place,645 Castlefield Ave,Retirement Home,Enteric,Unable to identify,2016-12-21,2017-01-03,Inactive,-79.4247813,43.7065006
34,Greenview Lodge,880 Lawrence Ave E,Retirement Home,Respiratory,Respiratory syncytial virus,2016-12-21,2017-01-05,Inactive,-79.3489587,43.7361257
35,West Park Healthcare Centre - 3WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-12-19,2016-12-23,Inactive,-79.5098225,43.687805
36,Centennial Park Place,25 Centennial Park Rd,Retirement Home,Respiratory,Influenza A,2016-12-19,2016-12-27,Inactive,-79.5826865,43.6537573
37,Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Enteric,Norovirus-like,2016-12-19,2017-01-23,Inactive,-79.2180677,43.7407432
38,Baycrest Centre For Geriatric Care - 3E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-12-16,2016-12-26,Inactive,-79.4361036,43.7292745
39,West Park Healthcare Centre - 3WD,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-12-16,2017-01-04,Inactive,-79.5098225,43.687805
40,Mon Sheong Scarborough Long Term Care Centre - 2nd Fl,2030 McNicoll Ave,LTCH,Respiratory,Influenza A,2016-12-16,2017-01-15,Inactive,-79.2994857,43.8128599
41,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Coronavirus,2016-12-15,2016-12-24,Inactive,-79.40816758965518,43.78889555517242
42,St. John's Rehabilitation Hospital - A4,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-12-14,2016-12-30,Inactive,-79.40424676206896,43.789755968965515
43,Toronto General Hospital - 14ES,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza A,2016-12-13,2016-12-23,Inactive,-79.3869528,43.6583672
44,Extendicare Craiglee - 1st & 2nd Fl,102 Craiglee Dr,LTCH,Respiratory,Metapneumovirus,2016-12-13,2016-12-24,Inactive,-79.2528019,43.7067792
45,Kingsway Retirement Residence - 2nd Fl - Memory Care,4251 Dundas St W,Retirement Home,Respiratory,Rhinovirus,2016-12-11,2016-12-20,Inactive,-79.513986,43.6591255
46,Ina Grafton Gage Home - 2nd Fl,40 Bell Estate Rd,LTCH,Respiratory,Unable to identify,2016-12-09,2016-12-19,Inactive,-79.2753435,43.7058073
47,Christie Gardens,600 Melita Cres,Retirement Home,Respiratory,Influenza A,2016-12-08,2016-12-19,Inactive,-79.4229698,43.6725542
48,Kensington Place Retirement Residence - 6th Fl,866 Sheppard Ave W,Retirement Home,Respiratory,Parainfluenza,2016-12-07,2016-12-25,Inactive,-79.45390335882352,43.752403364705884
49,Sienna Altamont Care Community,92 Island Rd,LTCH,Respiratory,Respiratory syncytial virus,2016-12-06,2016-12-22,Inactive,-79.13997840570175,43.7988385
50,Castleview Wychwood Towers - 7C,351 Christie St,LTCH,Enteric,Unable to identify,2016-12-04,2016-12-11,Inactive,-79.42113793274277,43.673349
51,Kensington Gardens - 3 West,45 Brunswick Ave,LTCH,Respiratory,Respiratory syncytial virus,2016-12-02,2016-12-14,Inactive,-79.404305,43.658784
52,Kipling Acres - 1 West,2233 Kipling Ave,LTCH,Enteric,Norovirus-like,2016-12-02,2016-12-09,Inactive,-79.571631,43.725014
53,West Park Healthcare Centre - Glenwyld & Raymore,82 Buttonwood Ave,LTCH,Respiratory,Respiratory syncytial virus,2016-12-02,2016-12-16,Inactive,-79.5098225,43.687805
54,St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Enterovirus/Rhinovirus,2016-11-29,2016-12-16,Inactive,-79.40424676206896,43.789755968965515
55,Eatonville Care Centre,420 The East Mall,LTCH,Respiratory,Influenza A,2016-11-29,2016-12-14,Inactive,-79.560686,43.64745
56,The O'Neill Centre - 4th Fl,33 Christie St,LTCH,Respiratory,Respiratory syncytial virus,2016-11-29,2016-12-19,Inactive,-79.4186528,43.6647391
57,Baycrest Apotex Centre - 5EI,3560 Bathurst St,LTCH,Respiratory,Influenza A,2016-11-28,2016-12-08,Inactive,-79.4361036,43.7292745
58,Sunnybrook Health Sciences Centre - LGSE,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-11-28,2016-12-05,Inactive,-79.3792695,43.7235801
59,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Enteric,Unable to identify,2016-11-27,2016-12-06,Inactive,-79.3726983,43.8083147
60,North Park Nursing Home,450 Rustic Rd,LTCH,Respiratory,Rhinovirus,2016-11-26,2016-12-26,Inactive,-79.48187197868482,43.71729432043269
61,Extendicare Craiglee,102 Craiglee Dr,LTCH,Respiratory,Rhinovirus,2016-11-24,2016-12-11,Inactive,-79.2528019,43.7067792
62,Humber Valley Terrace,95 Humber College Blvd,LTCH,Enteric,Norovirus-like,2016-11-23,2016-12-12,Inactive,-79.5994248,43.7307129
64,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A,2016-11-18,2016-11-25,Inactive,-79.40424676206896,43.789755968965515
65,Ehatare Nursing Home,40 Old Kingston Rd,LTCH,Respiratory,Rhinovirus,2016-11-18,2016-12-05,Inactive,-79.1825648,43.7754026
66,Main Street Terrace,77 Main St,LTCH,Enteric,Unable to identify,2016-11-18,2016-11-30,Inactive,-79.29894248888888,43.681406233333334
67,Michael Garron Hospital - F3,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,2016-11-13,2016-11-22,Inactive,-79.3236782,43.6896572
68,St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,2016-11-12,2016-12-04,Inactive,-79.450101,43.639359
69,The Salvation Army Toronto Grace Health Centre - Unit 2,47 Austin Terr,Hospital-Chronic Care,Enteric,Clostridium difficile,2016-11-09,2016-12-13,Inactive,-79.415943,43.678115
70,St Clair O'Connor Nursing Home,2701 St Clair Ave E,LTCH,Enteric,Norovirus-like,2016-11-09,2016-11-18,Inactive,-79.3117512,43.7055002
72,Fudger House - 2E,439 Sherbourne St,LTCH,Enteric,Unable to identify,2016-11-01,2016-11-06,Inactive,-79.373735,43.666208
73,Gibson Long Term Care Centre - Unit 4,1925 Steeles Ave E,LTCH,Respiratory,Influenza A,2016-11-01,2016-11-15,Inactive,-79.3758609,43.807618
74,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Rhinovirus,2016-10-26,2016-11-04,Inactive,-79.5098225,43.687805
75,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-10-20,2016-10-28,Inactive,-79.3792695,43.7235801
76,Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Rhinovirus,2016-10-20,2016-11-03,Inactive,-79.3726983,43.8083147
77,The O'Neill Centre,33 Christie St,LTCH,Respiratory,Rhinovirus,2016-10-17,2016-11-07,Inactive,-79.4186528,43.6647391
78,Drs. Paul & John Rekai Centre - 2nd Fl,345 Sherbourne St,LTCH,Respiratory,Rhinovirus,2016-10-16,2016-10-27,Inactive,-79.37243630597754,43.662702249999995
79,Thompson House - 2nd & 3rd Fl,1 Overland Dr,LTCH,Respiratory,Rhinovirus,2016-10-13,2016-11-03,Inactive,-79.347342,43.732464
80,Canterbury Place Retirement Residence,1 Canterbury Pl,Retirement Home,Respiratory,Rhinovirus,2016-10-12,2016-10-24,Inactive,-79.4141725,43.7719895
81,Cedarhurst Home - 1st Fl,2601 Bayview Ave,Retirement Home,Respiratory,Rhinovirus,2016-10-12,2016-10-21,Inactive,-79.3845412,43.7508959
82,Bethseda Home - Belgreen,67 Belgreen Ave,Retirement Home,Respiratory,Rhinovirus,2016-10-11,2016-10-18,Inactive,-79.2904608,43.7953215
83,Gibson Long Term Care Centre - Unit 3,1925 Steeles Ave E,LTCH,Respiratory,Rhinovirus,2016-10-08,2016-11-08,Inactive,-79.3758609,43.807618
84,Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-10-07,2016-10-15,Inactive,-79.3792695,43.7235801
85,Chartwell Lansing Retirement Residence,10 Senlac Rd,Retirement Home,Respiratory,Rhinovirus,2016-10-04,2016-10-15,Inactive,-79.4227967,43.7590704
86,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-09-30,2016-10-15,Inactive,-79.3792695,43.7235801
87,Fountain View Care Community - 2nd Fl (Lakeside & Breezeway),1800 O'Connor Dr,LTCH,Respiratory,Rhinovirus,2016-09-29,2016-10-17,Inactive,-79.30522822012195,43.7204409
88,St. John's Rehabilitation Hospital - A4,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Coronavirus,2016-09-26,2016-10-01,Inactive,-79.40424676206896,43.789755968965515
89,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2016-09-26,2016-10-07,Inactive,-79.210221,43.763575
90,Mon Sheong Scarborough Long Term Care Centre - 4th Fl,2030 McNicoll Ave,LTCH,Respiratory,Rhinovirus,2016-09-22,2016-10-03,Inactive,-79.2994857,43.8128599
91,The Heritage Nursing Home - 1st & 3rd Fl,1195 Queen St E,LTCH,Respiratory,Rhinovirus,2016-09-22,2016-10-17,Inactive,-79.3316241,43.66280613333333
92,Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Rhinovirus,2016-09-21,2016-10-02,Inactive,-79.3904512,43.7932278
93,Cedarvale Terrace,429 Walmer Rd,LTCH,Respiratory,Unable to identify,2016-09-19,2016-10-19,Inactive,-79.412483,43.685423
94,Midland Gardens,130 Midland Ave,LTCH,Respiratory,Rhinovirus,2016-09-19,2016-10-30,Inactive,-79.2469846,43.7077593
95,Bendale Acres,2920 Lawrence Ave E,LTCH,Respiratory,Unable to identify,2016-09-15,2016-09-29,Inactive,-79.2516534,43.7543919
96,The Hospital For Sick Children - 5B,555 University Ave,Hospital-Acute Care,Respiratory,Enterovirus/Rhinovirus,2016-09-14,2016-09-20,Inactive,-79.387438,43.657372
97,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-09-14,2016-09-23,Inactive,-79.3792695,43.7235801
98,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-09-13,2016-09-20,Inactive,-79.3792695,43.7235801
99,Village of Humber Heights - Wadsworth,2245 Lawrence Ave W,LTCH,Respiratory,Rhinovirus,2016-09-09,2016-09-20,Inactive,-79.527245,43.6972121
100,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Unable to identify,2016-09-08,2016-09-25,Inactive,-79.40816758965518,43.78889555517242
101,Castleview Wychwood Towers - 2  West,351 Christie St,LTCH,Respiratory,Rhinovirus,2016-09-07,2016-09-15,Inactive,-79.42113793274277,43.673349
102,Eatonville Care Centre,420 East Mall,LTCH,Respiratory,Rhinovirus,2016-08-29,2016-09-08,Inactive,-79.560686,43.64745
103,Extendicare Rouge Valley - Highland Creek,551 Conlins Rd,LTCH,Respiratory,Rhinovirus,2016-08-23,2016-09-03,Inactive,-79.1894286,43.8029937
104,Atrium at Kew Beach,500 Kingston Rd,Retirement Home,Respiratory,Parainfluenza,2016-08-22,2016-09-09,Inactive,-79.3026915478865,43.6778819
105,Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Enteric,Shigella flexneri,2016-08-22,2016-08-31,Inactive,-79.3957197,43.6732425
106,Yee Hong Centre for Geriatric Care - Finch Site - 2nd Fl,60 Scottfield Dr,LTCH,Respiratory,Metapneumovirus,2016-08-19,2016-09-04,Inactive,-79.25453972658863,43.8086905
107,McCall Centre for Continuing Care - 2nd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Parainfluenza,2016-08-18,2016-08-26,Inactive,-79.562235,43.610033
108,The Hospital for Sick Children - 8B,555 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza,2016-08-15,2016-08-22,Inactive,-79.387438,43.657372
109,"Hellenic Home - Ground, 2B & 3B",2411 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2016-08-03,2016-08-19,Inactive,-79.2746356,43.7493249
110,Thompson House - 2nd Fl,1 Overland Dr,LTCH,Respiratory,Rhinovirus,2016-07-29,2016-08-08,Inactive,-79.347342,43.732464
111,Deerwood Creek Care Community - 3A (Windsor Heights),70 Humberline Dr,LTCH,Respiratory,Rhinovirus,2016-07-27,2016-08-12,Inactive,-79.616344,43.731729
112,Gibson Long Term Care,1925 Steeles Ave E,LTCH,Respiratory,Parainfluenza,2016-07-27,2016-08-27,Inactive,-79.3758609,43.807618
113,The Westbury - 7th Fl,495 The West Mall,LTCH,Respiratory,Unable to identify,2016-07-26,2016-07-31,Inactive,-79.567866,43.648303
114,Cedarhurst Home,2601 Bayview Ave,Retirement Home,Respiratory,Rhinovirus,2016-07-25,2016-08-05,Inactive,-79.3845412,43.7508959
115,Craiglee Extendicare,102 Craiglee Dr,LTCH,Respiratory,Parainfluenza,2016-07-22,2016-08-17,Inactive,-79.2528019,43.7067792
116,Elm Grove Living Centre,35 Elm Grove Ave,LTCH,Respiratory,Rhinovirus,2016-07-21,2016-08-18,Inactive,-79.43074080619229,43.6403384
117,Sunnybrook Health Sciences Centre - LGSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-07-13,2016-07-30,Inactive,-79.3792695,43.7235801
118,Yee Hong Centre - Finch Site - 3rd Fl,60 Scottfield Dr,LTCH,Respiratory,Parainfluenza,2016-07-11,2016-07-25,Inactive,-79.25453972658863,43.8086905
119,Ehatare Nursing Home,40 Old Kingston Rd,LTCH,Enteric,Unable to identify,2016-07-09,2016-07-18,Inactive,-79.1825648,43.7754026
120,Ehatare Retirement Home,40 Old Kingston Rd,Retirement Home,Enteric,Unable to identify,2016-07-09,2016-07-21,Inactive,-79.1825648,43.7754026
121,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Parainfluenza,2016-06-30,2016-07-09,Inactive,-79.5098225,43.687805
122,The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,Parainfluenza,2016-06-27,2016-07-26,Inactive,-79.3316241,43.66280613333333
123,Mount Sinai Hospital - 10N,600 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza,2016-06-23,2016-07-09,Inactive,-79.390445,43.657536
124,Sunnybrook Health Sciences Centre - K1W,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-06-13,2016-06-20,Inactive,-79.3792695,43.7235801
125,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-06-08,2016-06-21,Inactive,-79.3792695,43.7235801
126,Midland Gardens,130 Midland Ave,LTCH,Respiratory,Coronavirus,2016-06-03,2016-06-30,Inactive,-79.2469846,43.7077593
127,Rouge Valley Health System - Centenary Site - 9 East,2867 Ellesmere Rd,Hospital-Acute Care,Enteric,Clostridium difficile,2016-06-01,2016-07-15,Inactive,-79.204964,43.78009
128,St. John's Rehabilitation Centre - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A,2016-06-01,2016-06-09,Inactive,-79.40424676206896,43.789755968965515
129,Sunnybrook Health Sciences Centre - K3C & K3E,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-05-31,2016-06-18,Inactive,-79.3792695,43.7235801
130,St. Joseph's Health Centre - 4 East,30 The Queensway,Hospital-Acute Care,Enteric,Clostridium difficile,2016-05-30,2016-06-13,Inactive,-79.450101,43.639359
131,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Enteric,Norovirus-like,2016-05-30,2016-06-04,Inactive,-79.5098225,43.687805
132,Atrium at Kew Beach,500 Kingston Rd,Retirement Home,Enteric,Norovirus-like,2016-05-26,2016-06-09,Inactive,-79.3026915478865,43.6778819
133,Villa Colombo,40 Playfair Ave,LTCH,Enteric,Norovirus-like,2016-05-25,2016-06-08,Inactive,-79.45668174072816,43.71094909999999
134,Salvation Army Toronto Grace Health Centre - Palliative Care,47 Austin Terr,Hospital-Chronic Care,Respiratory,Unable to identify,2016-05-24,2016-06-01,Inactive,-79.415943,43.678115
135,Seven Oaks - 2nd Fl,9 Neilson Rd,LTCH,Respiratory,Metapneumovirus,2016-05-24,2016-05-31,Inactive,-79.2034339,43.7794412
136,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,2016-05-20,2016-05-27,Inactive,-79.2468577,43.7550969
137,Labdara Lithuanian Nursing Home,5 Resurrection Rd,LTCH,Respiratory,Influenza A,2016-05-19,2016-06-08,Inactive,-79.530938,43.644155
138,Sunnybrook Health Sciences Centre - LDMH,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-05-18,2016-05-26,Inactive,-79.3792695,43.7235801
139,True Davidson Acres - 2E & 3rd Fl,200 Dawes Rd,LTCH,Respiratory,Rhinovirus,2016-05-12,2016-05-25,Inactive,-79.298175,43.69582
140,Wesburn Manor - 3 North & 3 South,400 The West Mall,LTCH,Respiratory,Metapneumovirus,2016-05-09,2016-05-18,Inactive,-79.567569,43.643719
141,The Wexford,1860 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,2016-05-06,2016-05-19,Inactive,-79.3024148,43.7438388
142,Kensington Place Retirement Residence,866 Sheppard Ave W,Retirement Home,Respiratory,Parainfluenza,2016-05-06,2016-05-15,Inactive,-79.45390335882352,43.752403364705884
143,Toronto Finnish Canadian Seniors Centre - Suomi Koti,795 Eglinton Ave E,LTCH,Enteric,Norovirus-like,2016-05-04,2016-05-20,Inactive,-79.3669906,43.7129848
144,Castleview Wychwood Towers - 2W,351 Christie St,LTCH,Respiratory,Influenza A,2016-05-03,2016-05-08,Inactive,-79.42113793274277,43.673349
145,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza B,2016-05-02,2016-05-11,Inactive,-79.5098225,43.687805
146,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2016-05-02,2016-05-20,Inactive,-79.3792695,43.7235801
147,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Influenza B,2016-05-02,2016-05-16,Inactive,-79.3726983,43.8083147
148,Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2016-04-27,2016-05-15,Inactive,-79.3792695,43.7235801
149,Sunnybrook Health Sciences Centre - D6,2075 Bayview Ave,Hospital-Acute Care,Enteric,Clostridium difficile,2016-04-26,2016-05-04,Inactive,-79.3792695,43.7235801
150,The O'Neill Centre,33 Christie St,LTCH,Respiratory,Respiratory syncytial virus,2016-04-26,2016-05-06,Inactive,-79.4186528,43.6647391
151,Cedarbook Lodge Retirement Residence - 2nd & 3rd Fl,520 Markham Rd,Retirement Home,Respiratory,Influenza B,2016-04-23,2016-05-01,Inactive,-79.2241579,43.7554562
152,Sunnybrook Health Sciences Centre - K1W,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2016-04-19,2016-04-29,Inactive,-79.3792695,43.7235801
153,Amica at the Balmoral Club,155 Balmoral Ave,Retirement Home,Enteric,Norovirus-like,2016-04-18,2016-05-02,Inactive,-79.400293,43.68429
154,Better Living at Thompson House,1 Overland Dr,LTCH,Respiratory,Influenza B,2016-04-17,2016-05-02,Inactive,-79.347342,43.732464
155,Sunnybrook Health Sciences Centre - C2,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Influenza B,2016-04-14,2016-04-25,Inactive,-79.3792695,43.7235801
156,Chartwell Guildwood Retirement Residence,65 Livingston Rd,Retirement Home,Respiratory,Coronavirus,2016-04-13,2016-04-29,Inactive,-79.1980788,43.7451732
157,Elm Grove Living Centre,35 Elm Grove Ave,LTCH,Respiratory,Influenza B,2016-04-12,2016-04-19,Inactive,-79.43074080619229,43.6403384
158,Extendicare Rouge Valley - Highland Creek,551 Conlins Rd,LTCH,Respiratory,Coronavirus,2016-04-11,2016-04-20,Inactive,-79.1894286,43.8029937
159,Norfinch Care Community - 3A,22 Norfinch Dr,LTCH,Respiratory,Unable to identify,2016-04-11,2016-04-16,Inactive,-79.52465315351665,43.75628127207558
160,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Parainfluenza,2016-04-07,2016-05-11,Inactive,-79.2469846,43.7077593
161,St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza B,2016-04-05,2016-04-11,Inactive,-79.40424676206896,43.789755968965515
162,Sunnybrook Health Sciences Centre - LGSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-04-05,2016-04-22,Inactive,-79.3792695,43.7235801
163,Salvation Army Toronto Grace Health Centre - 2nd Fl,47 Austin Terr,Hospital-Chronic Care,Respiratory,Metapneumovirus,2016-04-04,2016-04-10,Inactive,-79.415943,43.678115
164,Mon Sheong Home for the Aged - 3rd Fl,36 D'Arcy St,LTCH,Respiratory,Influenza A,2016-04-04,2016-04-12,Inactive,-79.39325999536922,43.655300499999996
165,Wesburn Manor,400 The West Mall,LTCH,Enteric,Norovirus-like,2016-04-04,2016-04-20,Inactive,-79.567569,43.643719
166,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Coronavirus,2016-04-04,2016-04-22,Inactive,-79.5098225,43.687805
167,Scarborough Hospital General Campus - CP4,3050 Lawrence Ave E,Hospital-Acute Care,Enteric,Clostridium difficile,2016-04-02,2016-04-13,Inactive,-79.246316,43.7566259
168,Casey House,9 Huntley St,Hospital-Chronic Care,Respiratory,Influenza B,2016-04-01,2016-04-15,Inactive,-79.377641,43.668735
169,North York General Hospital - 6W,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A,2016-03-29,2016-04-05,Inactive,-79.362213,43.7699003
