,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status
32,North York General Hospital - 5 SE,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A,2016-12-21,2016-12-29,Inactive
33,Forest Hill Place,645 Castlefield Ave,Retirement Home,Enteric,Unable to identify,2016-12-21,2017-01-03,Inactive
34,Greenview Lodge,880 Lawrence Ave E,Retirement Home,Respiratory,Respiratory syncytial virus,2016-12-21,2017-01-05,Inactive
35,West Park Healthcare Centre - 3WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-12-19,2016-12-23,Inactive
36,Centennial Park Place,25 Centennial Park Rd,Retirement Home,Respiratory,Influenza A,2016-12-19,2016-12-27,Inactive
37,Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Enteric,Norovirus-like,2016-12-19,2017-01-23,Inactive
38,Baycrest Centre For Geriatric Care - 3E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-12-16,2016-12-26,Inactive
39,West Park Healthcare Centre - 3WD,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-12-16,2017-01-04,Inactive
40,Mon Sheong Scarborough Long Term Care Centre - 2nd Fl,2030 McNicoll Ave,LTCH,Respiratory,Influenza A,2016-12-16,2017-01-15,Inactive
41,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Coronavirus,2016-12-15,2016-12-24,Inactive
42,St. John's Rehabilitation Hospital - A4,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-12-14,2016-12-30,Inactive
43,Toronto General Hospital - 14ES,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza A,2016-12-13,2016-12-23,Inactive
44,Extendicare Craiglee - 1st & 2nd Fl,102 Craiglee Dr,LTCH,Respiratory,Metapneumovirus,2016-12-13,2016-12-24,Inactive
45,Kingsway Retirement Residence - 2nd Fl - Memory Care,4251 Dundas St W,Retirement Home,Respiratory,Rhinovirus,2016-12-11,2016-12-20,Inactive
46,Ina Grafton Gage Home - 2nd Fl,40 Bell Estate Rd,LTCH,Respiratory,Unable to identify,2016-12-09,2016-12-19,Inactive
47,Christie Gardens,600 Melita Cres,Retirement Home,Respiratory,Influenza A,2016-12-08,2016-12-19,Inactive
48,Kensington Place Retirement Residence - 6th Fl,866 Sheppard Ave W,Retirement Home,Respiratory,Parainfluenza,2016-12-07,2016-12-25,Inactive
49,Sienna Altamont Care Community,92 Island Rd,LTCH,Respiratory,Respiratory syncytial virus,2016-12-06,2016-12-22,Inactive
50,Castleview Wychwood Towers - 7C,351 Christie St,LTCH,Enteric,Unable to identify,2016-12-04,2016-12-11,Inactive
51,Kensington Gardens - 3 West,45 Brunswick Ave,LTCH,Respiratory,Respiratory syncytial virus,2016-12-02,2016-12-14,Inactive
52,Kipling Acres - 1 West,2233 Kipling Ave,LTCH,Enteric,Norovirus-like,2016-12-02,2016-12-09,Inactive
53,West Park Healthcare Centre - Glenwyld & Raymore,82 Buttonwood Ave,LTCH,Respiratory,Respiratory syncytial virus,2016-12-02,2016-12-16,Inactive
54,St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Enterovirus/Rhinovirus,2016-11-29,2016-12-16,Inactive
55,Eatonville Care Centre,420 The East Mall,LTCH,Respiratory,Influenza A,2016-11-29,2016-12-14,Inactive
56,The O'Neill Centre - 4th Fl,33 Christie St,LTCH,Respiratory,Respiratory syncytial virus,2016-11-29,2016-12-19,Inactive
57,Baycrest Apotex Centre - 5EI,3560 Bathurst St,LTCH,Respiratory,Influenza A,2016-11-28,2016-12-08,Inactive
58,Sunnybrook Health Sciences Centre - LGSE,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-11-28,2016-12-05,Inactive
59,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Enteric,Unable to identify,2016-11-27,2016-12-06,Inactive
60,North Park Nursing Home,450 Rustic Rd,LTCH,Respiratory,Rhinovirus,2016-11-26,2016-12-26,Inactive
61,Extendicare Craiglee,102 Craiglee Dr,LTCH,Respiratory,Rhinovirus,2016-11-24,2016-12-11,Inactive
62,Humber Valley Terrace,95 Humber College Blvd,LTCH,Enteric,Norovirus-like,2016-11-23,2016-12-12,Inactive
63,Chartwell Scarlett Height Retirement Residence -,"4005 Eglinton Ave W - 2nd, 7th, 8th & 9th Fl",Retirement Home,Respiratory,Rhinovirus,2016-11-23,2016-12-05,Inactive
64,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A,2016-11-18,2016-11-25,Inactive
65,Ehatare Nursing Home,40 Old Kingston Rd,LTCH,Respiratory,Rhinovirus,2016-11-18,2016-12-05,Inactive
66,Main Street Terrace,77 Main St,LTCH,Enteric,Unable to identify,2016-11-18,2016-11-30,Inactive
67,Michael Garron Hospital - F3,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,2016-11-13,2016-11-22,Inactive
68,St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,2016-11-12,2016-12-04,Inactive
69,The Salvation Army Toronto Grace Health Centre - Unit 2,47 Austin Terr,Hospital-Chronic Care,Enteric,Clostridium difficile,2016-11-09,2016-12-13,Inactive
70,St Clair O'Connor Nursing Home,2701 St Clair Ave E,LTCH,Enteric,Norovirus-like,2016-11-09,2016-11-18,Inactive
71,Centre for Addiction and Mental Health - Queen Site -,1001 Queen St W - Unit 2-2,Hospital-Psychiatric,Respiratory,Rhinovirus,2016-11-08,2016-11-17,Inactive
72,Fudger House - 2E,439 Sherbourne St,LTCH,Enteric,Unable to identify,2016-11-01,2016-11-06,Inactive
73,Gibson Long Term Care Centre - Unit 4,1925 Steeles Ave E,LTCH,Respiratory,Influenza A,2016-11-01,2016-11-15,Inactive
74,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Rhinovirus,2016-10-26,2016-11-04,Inactive
75,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-10-20,2016-10-28,Inactive
76,Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Rhinovirus,2016-10-20,2016-11-03,Inactive
77,The O'Neill Centre,33 Christie St,LTCH,Respiratory,Rhinovirus,2016-10-17,2016-11-07,Inactive
78,Drs. Paul & John Rekai Centre - 2nd Fl,345 Sherbourne St,LTCH,Respiratory,Rhinovirus,2016-10-16,2016-10-27,Inactive
79,Thompson House - 2nd & 3rd Fl,1 Overland Dr,LTCH,Respiratory,Rhinovirus,2016-10-13,2016-11-03,Inactive
80,Canterbury Place Retirement Residence,1 Canterbury Pl,Retirement Home,Respiratory,Rhinovirus,2016-10-12,2016-10-24,Inactive
81,Cedarhurst Home - 1st Fl,2601 Bayview Ave,Retirement Home,Respiratory,Rhinovirus,2016-10-12,2016-10-21,Inactive
82,Bethseda Home - Belgreen,67 Belgreen Ave,Retirement Home,Respiratory,Rhinovirus,2016-10-11,2016-10-18,Inactive
83,Gibson Long Term Care Centre - Unit 3,1925 Steeles Ave E,LTCH,Respiratory,Rhinovirus,2016-10-08,2016-11-08,Inactive
84,Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-10-07,2016-10-15,Inactive
85,Chartwell Lansing Retirement Residence,10 Senlac Rd,Retirement Home,Respiratory,Rhinovirus,2016-10-04,2016-10-15,Inactive
86,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-09-30,2016-10-15,Inactive
87,Fountain View Care Community - 2nd Fl (Lakeside & Breezeway),1800 O'Connor Dr,LTCH,Respiratory,Rhinovirus,2016-09-29,2016-10-17,Inactive
88,St. John's Rehabilitation Hospital - A4,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Coronavirus,2016-09-26,2016-10-01,Inactive
89,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2016-09-26,2016-10-07,Inactive
90,Mon Sheong Scarborough Long Term Care Centre - 4th Fl,2030 McNicoll Ave,LTCH,Respiratory,Rhinovirus,2016-09-22,2016-10-03,Inactive
91,The Heritage Nursing Home - 1st & 3rd Fl,1195 Queen St E,LTCH,Respiratory,Rhinovirus,2016-09-22,2016-10-17,Inactive
92,Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Rhinovirus,2016-09-21,2016-10-02,Inactive
93,Cedarvale Terrace,429 Walmer Rd,LTCH,Respiratory,Unable to identify,2016-09-19,2016-10-19,Inactive
94,Midland Gardens,130 Midland Ave,LTCH,Respiratory,Rhinovirus,2016-09-19,2016-10-30,Inactive
95,Bendale Acres,2920 Lawrence Ave E,LTCH,Respiratory,Unable to identify,2016-09-15,2016-09-29,Inactive
96,The Hospital For Sick Children - 5B,555 University Ave,Hospital-Acute Care,Respiratory,Enterovirus/Rhinovirus,2016-09-14,2016-09-20,Inactive
97,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-09-14,2016-09-23,Inactive
98,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-09-13,2016-09-20,Inactive
99,Village of Humber Heights - Wadsworth,2245 Lawrence Ave W,LTCH,Respiratory,Rhinovirus,2016-09-09,2016-09-20,Inactive
100,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Unable to identify,2016-09-08,2016-09-25,Inactive
101,Castleview Wychwood Towers - 2  West,351 Christie St,LTCH,Respiratory,Rhinovirus,2016-09-07,2016-09-15,Inactive
102,Eatonville Care Centre,420 East Mall,LTCH,Respiratory,Rhinovirus,2016-08-29,2016-09-08,Inactive
103,Extendicare Rouge Valley - Highland Creek,551 Conlins Rd,LTCH,Respiratory,Rhinovirus,2016-08-23,2016-09-03,Inactive
104,Atrium at Kew Beach,500 Kingston Rd,Retirement Home,Respiratory,Parainfluenza,2016-08-22,2016-09-09,Inactive
105,Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Enteric,Shigella flexneri,2016-08-22,2016-08-31,Inactive
106,Yee Hong Centre for Geriatric Care - Finch Site - 2nd Fl,60 Scottfield Dr,LTCH,Respiratory,Metapneumovirus,2016-08-19,2016-09-04,Inactive
107,McCall Centre for Continuing Care - 2nd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Parainfluenza,2016-08-18,2016-08-26,Inactive
108,The Hospital for Sick Children - 8B,555 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza,2016-08-15,2016-08-22,Inactive
109,"Hellenic Home - Ground, 2B & 3B",2411 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2016-08-03,2016-08-19,Inactive
110,Thompson House - 2nd Fl,1 Overland Dr,LTCH,Respiratory,Rhinovirus,2016-07-29,2016-08-08,Inactive
111,Deerwood Creek Care Community - 3A (Windsor Heights),70 Humberline Dr,LTCH,Respiratory,Rhinovirus,2016-07-27,2016-08-12,Inactive
112,Gibson Long Term Care,1925 Steeles Ave E,LTCH,Respiratory,Parainfluenza,2016-07-27,2016-08-27,Inactive
113,The Westbury - 7th Fl,495 The West Mall,LTCH,Respiratory,Unable to identify,2016-07-26,2016-07-31,Inactive
114,Cedarhurst Home,2601 Bayview Ave,Retirement Home,Respiratory,Rhinovirus,2016-07-25,2016-08-05,Inactive
115,Craiglee Extendicare,102 Craiglee Dr,LTCH,Respiratory,Parainfluenza,2016-07-22,2016-08-17,Inactive
116,Elm Grove Living Centre,35 Elm Grove Ave,LTCH,Respiratory,Rhinovirus,2016-07-21,2016-08-18,Inactive
117,Sunnybrook Health Sciences Centre - LGSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-07-13,2016-07-30,Inactive
118,Yee Hong Centre - Finch Site - 3rd Fl,60 Scottfield Dr,LTCH,Respiratory,Parainfluenza,2016-07-11,2016-07-25,Inactive
119,Ehatare Nursing Home,40 Old Kingston Rd,LTCH,Enteric,Unable to identify,2016-07-09,2016-07-18,Inactive
120,Ehatare Retirement Home,40 Old Kingston Rd,Retirement Home,Enteric,Unable to identify,2016-07-09,2016-07-21,Inactive
121,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Parainfluenza,2016-06-30,2016-07-09,Inactive
122,The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,Parainfluenza,2016-06-27,2016-07-26,Inactive
123,Mount Sinai Hospital - 10N,600 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza,2016-06-23,2016-07-09,Inactive
124,Sunnybrook Health Sciences Centre - K1W,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-06-13,2016-06-20,Inactive
125,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-06-08,2016-06-21,Inactive
126,Midland Gardens,130 Midland Ave,LTCH,Respiratory,Coronavirus,2016-06-03,2016-06-30,Inactive
127,Rouge Valley Health System - Centenary Site - 9 East,2867 Ellesmere Rd,Hospital-Acute Care,Enteric,Clostridium difficile,2016-06-01,2016-07-15,Inactive
128,St. John's Rehabilitation Centre - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A,2016-06-01,2016-06-09,Inactive
129,Sunnybrook Health Sciences Centre - K3C & K3E,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-05-31,2016-06-18,Inactive
130,St. Joseph's Health Centre - 4 East,30 The Queensway,Hospital-Acute Care,Enteric,Clostridium difficile,2016-05-30,2016-06-13,Inactive
131,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Enteric,Norovirus-like,2016-05-30,2016-06-04,Inactive
132,Atrium at Kew Beach,500 Kingston Rd,Retirement Home,Enteric,Norovirus-like,2016-05-26,2016-06-09,Inactive
133,Villa Colombo,40 Playfair Ave,LTCH,Enteric,Norovirus-like,2016-05-25,2016-06-08,Inactive
134,Salvation Army Toronto Grace Health Centre - Palliative Care,47 Austin Terr,Hospital-Chronic Care,Respiratory,Unable to identify,2016-05-24,2016-06-01,Inactive
135,Seven Oaks - 2nd Fl,9 Neilson Rd,LTCH,Respiratory,Metapneumovirus,2016-05-24,2016-05-31,Inactive
136,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,2016-05-20,2016-05-27,Inactive
137,Labdara Lithuanian Nursing Home,5 Resurrection Rd,LTCH,Respiratory,Influenza A,2016-05-19,2016-06-08,Inactive
138,Sunnybrook Health Sciences Centre - LDMH,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-05-18,2016-05-26,Inactive
139,True Davidson Acres - 2E & 3rd Fl,200 Dawes Rd,LTCH,Respiratory,Rhinovirus,2016-05-12,2016-05-25,Inactive
140,Wesburn Manor - 3 North & 3 South,400 The West Mall,LTCH,Respiratory,Metapneumovirus,2016-05-09,2016-05-18,Inactive
141,The Wexford,1860 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,2016-05-06,2016-05-19,Inactive
142,Kensington Place Retirement Residence,866 Sheppard Ave W,Retirement Home,Respiratory,Parainfluenza,2016-05-06,2016-05-15,Inactive
143,Toronto Finnish Canadian Seniors Centre - Suomi Koti,795 Eglinton Ave E,LTCH,Enteric,Norovirus-like,2016-05-04,2016-05-20,Inactive
144,Castleview Wychwood Towers - 2W,351 Christie St,LTCH,Respiratory,Influenza A,2016-05-03,2016-05-08,Inactive
145,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza B,2016-05-02,2016-05-11,Inactive
146,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2016-05-02,2016-05-20,Inactive
147,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Influenza B,2016-05-02,2016-05-16,Inactive
148,Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2016-04-27,2016-05-15,Inactive
149,Sunnybrook Health Sciences Centre - D6,2075 Bayview Ave,Hospital-Acute Care,Enteric,Clostridium difficile,2016-04-26,2016-05-04,Inactive
150,The O'Neill Centre,33 Christie St,LTCH,Respiratory,Respiratory syncytial virus,2016-04-26,2016-05-06,Inactive
151,Cedarbook Lodge Retirement Residence - 2nd & 3rd Fl,520 Markham Rd,Retirement Home,Respiratory,Influenza B,2016-04-23,2016-05-01,Inactive
152,Sunnybrook Health Sciences Centre - K1W,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2016-04-19,2016-04-29,Inactive
153,Amica at the Balmoral Club,155 Balmoral Ave,Retirement Home,Enteric,Norovirus-like,2016-04-18,2016-05-02,Inactive
154,Better Living at Thompson House,1 Overland Dr,LTCH,Respiratory,Influenza B,2016-04-17,2016-05-02,Inactive
155,Sunnybrook Health Sciences Centre - C2,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Influenza B,2016-04-14,2016-04-25,Inactive
156,Chartwell Guildwood Retirement Residence,65 Livingston Rd,Retirement Home,Respiratory,Coronavirus,2016-04-13,2016-04-29,Inactive
157,Elm Grove Living Centre,35 Elm Grove Ave,LTCH,Respiratory,Influenza B,2016-04-12,2016-04-19,Inactive
158,Extendicare Rouge Valley - Highland Creek,551 Conlins Rd,LTCH,Respiratory,Coronavirus,2016-04-11,2016-04-20,Inactive
159,Norfinch Care Community - 3A,22 Norfinch Dr,LTCH,Respiratory,Unable to identify,2016-04-11,2016-04-16,Inactive
160,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Parainfluenza,2016-04-07,2016-05-11,Inactive
161,St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza B,2016-04-05,2016-04-11,Inactive
162,Sunnybrook Health Sciences Centre - LGSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-04-05,2016-04-22,Inactive
163,Salvation Army Toronto Grace Health Centre - 2nd Fl,47 Austin Terr,Hospital-Chronic Care,Respiratory,Metapneumovirus,2016-04-04,2016-04-10,Inactive
164,Mon Sheong Home for the Aged - 3rd Fl,36 D'Arcy St,LTCH,Respiratory,Influenza A,2016-04-04,2016-04-12,Inactive
165,Wesburn Manor,400 The West Mall,LTCH,Enteric,Norovirus-like,2016-04-04,2016-04-20,Inactive
166,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Coronavirus,2016-04-04,2016-04-22,Inactive
167,Scarborough Hospital General Campus - CP4,3050 Lawrence Ave E,Hospital-Acute Care,Enteric,Clostridium difficile,2016-04-02,2016-04-13,Inactive
168,Casey House,9 Huntley St,Hospital-Chronic Care,Respiratory,Influenza B,2016-04-01,2016-04-15,Inactive
169,North York General Hospital - 6W,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A,2016-03-29,2016-04-05,Inactive
170,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Enteric,Norovirus-like,2016-03-29,2016-04-06,Inactive
171,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,2016-03-29,2016-04-08,Inactive
172,Mount Sinai Hospital - Unit 10 North,600 University Ave,Hospital-Acute Care,Respiratory,Influenza B,2016-03-26,2016-04-01,Inactive
173,St. Michael's Hospital - 14 Cardinal Carter,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A,2016-03-18,2016-03-25,Inactive
174,Carefree Lodge - Main Fl,303 Finch Ave E,LTCH,Respiratory,Parainfluenza,2016-03-18,2016-04-05,Inactive
175,Belmont House - 3 Walker Wing,55 Belmont St,LTCH,Respiratory,Metapneumovirus,2016-03-17,2016-03-30,Inactive
176,Seaton House,339 George St,Shelter,Respiratory,Streptococcus pyogenes,2016-03-17,2017-10-16,Inactive
177,Altamont Care Community,92 Island Rd,LTCH,Respiratory,Influenza A,2016-03-17,2016-04-04,Inactive
178,True Davidson Acres - 3 East,200 Dawes Rd,LTCH,Respiratory,Influenza A,2016-03-15,2016-03-25,Inactive
179,Centre for Addiction and Mental Health - Queen Street Site,1001 Queen St W - Unit 2-2,Hospital-Psychiatric,Respiratory,Unable to identify,2016-03-14,2016-03-23,Inactive
180,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Streptococcus pyogenes,2016-03-14,2016-06-15,Inactive
181,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Enteric,Norovirus-like,2016-03-14,2016-03-29,Inactive
182,Ehatare Nursing Home,40 Old Kingston Rd,LTCH,Respiratory,Unable to identify,2016-03-14,2016-03-24,Inactive
183,Gibson Long Term Care - 4th Fl,1925 Steeles Ave E,LTCH,Respiratory,Respiratory syncytial virus,2016-03-14,2016-03-28,Inactive
184,Tendercare Living Centre,1020 McNicoll Ave,LTCH,Respiratory,Metapneumovirus,2016-03-14,2016-04-01,Inactive
185,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Influenza A,2016-03-14,2016-04-05,Inactive
186,Extendicare Craiglee - 3rd Fl,102 Craiglee Dr,LTCH,Respiratory,Influenza A,2016-03-11,2016-03-22,Inactive
187,St. George Care Community,225 St George St,LTCH,Respiratory,Influenza A,2016-03-11,2016-03-21,Inactive
188,Greenview Lodge,880 Lawrence Ave E,Retirement Home,Respiratory,Influenza A,2016-03-11,2016-03-21,Inactive
189,Revera Westside,1145 Albion Rd,LTCH,Respiratory,Respiratory syncytial virus,2016-03-10,2016-03-29,Inactive
190,St. John's Rehabilitation Hospital - A2,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza B,2016-03-09,2016-03-17,Inactive
191,Castleview Wychwood Towers - 4th Fl,351 Christie St,LTCH,Respiratory,Influenza A,2016-03-09,2016-03-19,Inactive
192,Extendicare Rouge Valley - Clarke House,551 Conlins Rd,LTCH,Respiratory,Influenza A,2016-03-09,2016-03-16,Inactive
193,"New Horizons Tower - Fls 2, 3, 5, 7, 11, 14 & 16",1140 Bloor St W,Retirement Home,Respiratory,Unable to identify,2016-03-09,2016-03-28,Inactive
194,Salvation Army Meighen Retirement Residence,84 Davisville Ave,Retirement Home,Respiratory,Influenza B,2016-03-09,2016-03-17,Inactive
195,Providence Healthcare - B4 West Wing,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza B,2016-03-07,2016-03-13,Inactive
196,The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,Influenza A,2016-03-07,2016-03-19,Inactive
197,Trilogy Long Term Care,340 McCowan Rd,LTCH,Respiratory,Influenza A,2016-03-07,2016-03-21,Inactive
198,Wesburn Manor,400 The West Mall,LTCH,Respiratory,Unable to identify,2016-03-07,2016-03-18,Inactive
199,Kensington Gardens North - 2 East,45 Brunswick Ave,LTCH,Enteric,Unable to identify,2016-03-04,2016-03-21,Inactive
200,St. John's Rehabilitation Hospital - A4,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Coronavirus,2016-03-04,2016-03-17,Inactive
