,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status,Longitude,Latitude,Outbreak Year,Outbreak Month,Outbreak Season
82,Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-10-07,2016-10-15,Inactive,-79.3792695,43.7235801,2016,October,Fall
83,Chartwell Lansing Retirement Residence,10 Senlac Rd,Retirement Home,Respiratory,Rhinovirus,2016-10-04,2016-10-15,Inactive,-79.4227967,43.7590704,2016,October,Fall
84,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-09-30,2016-10-15,Inactive,-79.3792695,43.7235801,2016,September,Fall
85,Fountain View Care Community - 2nd Fl (Lakeside & Breezeway),1800 O'Connor Dr,LTCH,Respiratory,Rhinovirus,2016-09-29,2016-10-17,Inactive,-79.30522822012195,43.7204409,2016,September,Fall
86,St. John's Rehabilitation Hospital - A4,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Coronavirus,2016-09-26,2016-10-01,Inactive,-79.40424676206896,43.789755968965515,2016,September,Fall
87,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2016-09-26,2016-10-07,Inactive,-79.210221,43.763575,2016,September,Fall
88,Mon Sheong Scarborough Long Term Care Centre - 4th Fl,2030 McNicoll Ave,LTCH,Respiratory,Rhinovirus,2016-09-22,2016-10-03,Inactive,-79.2994857,43.8128599,2016,September,Fall
89,The Heritage Nursing Home - 1st & 3rd Fl,1195 Queen St E,LTCH,Respiratory,Rhinovirus,2016-09-22,2016-10-17,Inactive,-79.3316241,43.66280613333333,2016,September,Fall
90,Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Rhinovirus,2016-09-21,2016-10-02,Inactive,-79.3904512,43.7932278,2016,September,Fall
91,Cedarvale Terrace,429 Walmer Rd,LTCH,Respiratory,Unable to identify,2016-09-19,2016-10-19,Inactive,-79.412483,43.685423,2016,September,Fall
92,Midland Gardens,130 Midland Ave,LTCH,Respiratory,Rhinovirus,2016-09-19,2016-10-30,Inactive,-79.2469846,43.7077593,2016,September,Fall
93,Bendale Acres,2920 Lawrence Ave E,LTCH,Respiratory,Unable to identify,2016-09-15,2016-09-29,Inactive,-79.2516534,43.7543919,2016,September,Fall
94,The Hospital For Sick Children - 5B,555 University Ave,Hospital-Acute Care,Respiratory,Enterovirus/Rhinovirus,2016-09-14,2016-09-20,Inactive,-79.387438,43.657372,2016,September,Fall
95,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-09-14,2016-09-23,Inactive,-79.3792695,43.7235801,2016,September,Fall
96,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-09-13,2016-09-20,Inactive,-79.3792695,43.7235801,2016,September,Fall
97,Village of Humber Heights - Wadsworth,2245 Lawrence Ave W,LTCH,Respiratory,Rhinovirus,2016-09-09,2016-09-20,Inactive,-79.527245,43.6972121,2016,September,Fall
98,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Unable to identify,2016-09-08,2016-09-25,Inactive,-79.40816758965518,43.78889555517242,2016,September,Fall
99,Castleview Wychwood Towers - 2  West,351 Christie St,LTCH,Respiratory,Rhinovirus,2016-09-07,2016-09-15,Inactive,-79.42113793274277,43.673349,2016,September,Fall
100,Eatonville Care Centre,420 East Mall,LTCH,Respiratory,Rhinovirus,2016-08-29,2016-09-08,Inactive,-79.560686,43.64745,2016,August,Summer
101,Extendicare Rouge Valley - Highland Creek,551 Conlins Rd,LTCH,Respiratory,Rhinovirus,2016-08-23,2016-09-03,Inactive,-79.1894286,43.8029937,2016,August,Summer
102,Atrium at Kew Beach,500 Kingston Rd,Retirement Home,Respiratory,Parainfluenza,2016-08-22,2016-09-09,Inactive,-79.3026915478865,43.6778819,2016,August,Summer
103,Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Enteric,Shigella flexneri,2016-08-22,2016-08-31,Inactive,-79.3957197,43.6732425,2016,August,Summer
104,Yee Hong Centre for Geriatric Care - Finch Site - 2nd Fl,60 Scottfield Dr,LTCH,Respiratory,Metapneumovirus,2016-08-19,2016-09-04,Inactive,-79.25453972658863,43.8086905,2016,August,Summer
105,McCall Centre for Continuing Care - 2nd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Parainfluenza,2016-08-18,2016-08-26,Inactive,-79.562235,43.610033,2016,August,Summer
106,The Hospital for Sick Children - 8B,555 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza,2016-08-15,2016-08-22,Inactive,-79.387438,43.657372,2016,August,Summer
107,"Hellenic Home - Ground, 2B & 3B",2411 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2016-08-03,2016-08-19,Inactive,-79.2746356,43.7493249,2016,August,Summer
108,Thompson House - 2nd Fl,1 Overland Dr,LTCH,Respiratory,Rhinovirus,2016-07-29,2016-08-08,Inactive,-79.347342,43.732464,2016,July,Summer
109,Deerwood Creek Care Community - 3A (Windsor Heights),70 Humberline Dr,LTCH,Respiratory,Rhinovirus,2016-07-27,2016-08-12,Inactive,-79.616344,43.731729,2016,July,Summer
110,Gibson Long Term Care,1925 Steeles Ave E,LTCH,Respiratory,Parainfluenza,2016-07-27,2016-08-27,Inactive,-79.3758609,43.807618,2016,July,Summer
111,The Westbury - 7th Fl,495 The West Mall,LTCH,Respiratory,Unable to identify,2016-07-26,2016-07-31,Inactive,-79.567866,43.648303,2016,July,Summer
112,Cedarhurst Home,2601 Bayview Ave,Retirement Home,Respiratory,Rhinovirus,2016-07-25,2016-08-05,Inactive,-79.3845412,43.7508959,2016,July,Summer
113,Craiglee Extendicare,102 Craiglee Dr,LTCH,Respiratory,Parainfluenza,2016-07-22,2016-08-17,Inactive,-79.2528019,43.7067792,2016,July,Summer
114,Elm Grove Living Centre,35 Elm Grove Ave,LTCH,Respiratory,Rhinovirus,2016-07-21,2016-08-18,Inactive,-79.43074080619229,43.6403384,2016,July,Summer
115,Sunnybrook Health Sciences Centre - LGSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-07-13,2016-07-30,Inactive,-79.3792695,43.7235801,2016,July,Summer
116,Yee Hong Centre - Finch Site - 3rd Fl,60 Scottfield Dr,LTCH,Respiratory,Parainfluenza,2016-07-11,2016-07-25,Inactive,-79.25453972658863,43.8086905,2016,July,Summer
117,Ehatare Nursing Home,40 Old Kingston Rd,LTCH,Enteric,Unable to identify,2016-07-09,2016-07-18,Inactive,-79.1825648,43.7754026,2016,July,Summer
118,Ehatare Retirement Home,40 Old Kingston Rd,Retirement Home,Enteric,Unable to identify,2016-07-09,2016-07-21,Inactive,-79.1825648,43.7754026,2016,July,Summer
119,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Parainfluenza,2016-06-30,2016-07-09,Inactive,-79.5098225,43.687805,2016,June,Summer
120,The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,Parainfluenza,2016-06-27,2016-07-26,Inactive,-79.3316241,43.66280613333333,2016,June,Summer
121,Mount Sinai Hospital - 10N,600 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza,2016-06-23,2016-07-09,Inactive,-79.390445,43.657536,2016,June,Summer
122,Sunnybrook Health Sciences Centre - K1W,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-06-13,2016-06-20,Inactive,-79.3792695,43.7235801,2016,June,Summer
123,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-06-08,2016-06-21,Inactive,-79.3792695,43.7235801,2016,June,Summer
124,Midland Gardens,130 Midland Ave,LTCH,Respiratory,Coronavirus,2016-06-03,2016-06-30,Inactive,-79.2469846,43.7077593,2016,June,Summer
125,Rouge Valley Health System - Centenary Site - 9 East,2867 Ellesmere Rd,Hospital-Acute Care,Enteric,Clostridium difficile,2016-06-01,2016-07-15,Inactive,-79.204964,43.78009,2016,June,Summer
126,St. John's Rehabilitation Centre - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A,2016-06-01,2016-06-09,Inactive,-79.40424676206896,43.789755968965515,2016,June,Summer
127,Sunnybrook Health Sciences Centre - K3C & K3E,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-05-31,2016-06-18,Inactive,-79.3792695,43.7235801,2016,May,Spring
128,St. Joseph's Health Centre - 4 East,30 The Queensway,Hospital-Acute Care,Enteric,Clostridium difficile,2016-05-30,2016-06-13,Inactive,-79.450101,43.639359,2016,May,Spring
129,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Enteric,Norovirus-like,2016-05-30,2016-06-04,Inactive,-79.5098225,43.687805,2016,May,Spring
130,Atrium at Kew Beach,500 Kingston Rd,Retirement Home,Enteric,Norovirus-like,2016-05-26,2016-06-09,Inactive,-79.3026915478865,43.6778819,2016,May,Spring
131,Villa Colombo,40 Playfair Ave,LTCH,Enteric,Norovirus-like,2016-05-25,2016-06-08,Inactive,-79.45668174072816,43.71094909999999,2016,May,Spring
132,Salvation Army Toronto Grace Health Centre - Palliative Care,47 Austin Terr,Hospital-Chronic Care,Respiratory,Unable to identify,2016-05-24,2016-06-01,Inactive,-79.415943,43.678115,2016,May,Spring
133,Seven Oaks - 2nd Fl,9 Neilson Rd,LTCH,Respiratory,Metapneumovirus,2016-05-24,2016-05-31,Inactive,-79.2034339,43.7794412,2016,May,Spring
134,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,2016-05-20,2016-05-27,Inactive,-79.2468577,43.7550969,2016,May,Spring
135,Labdara Lithuanian Nursing Home,5 Resurrection Rd,LTCH,Respiratory,Influenza A,2016-05-19,2016-06-08,Inactive,-79.530938,43.644155,2016,May,Spring
136,Sunnybrook Health Sciences Centre - LDMH,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-05-18,2016-05-26,Inactive,-79.3792695,43.7235801,2016,May,Spring
137,True Davidson Acres - 2E & 3rd Fl,200 Dawes Rd,LTCH,Respiratory,Rhinovirus,2016-05-12,2016-05-25,Inactive,-79.298175,43.69582,2016,May,Spring
138,Wesburn Manor - 3 North & 3 South,400 The West Mall,LTCH,Respiratory,Metapneumovirus,2016-05-09,2016-05-18,Inactive,-79.567569,43.643719,2016,May,Spring
139,The Wexford,1860 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,2016-05-06,2016-05-19,Inactive,-79.3024148,43.7438388,2016,May,Spring
140,Kensington Place Retirement Residence,866 Sheppard Ave W,Retirement Home,Respiratory,Parainfluenza,2016-05-06,2016-05-15,Inactive,-79.45390335882352,43.75240336470589,2016,May,Spring
141,Toronto Finnish Canadian Seniors Centre - Suomi Koti,795 Eglinton Ave E,LTCH,Enteric,Norovirus-like,2016-05-04,2016-05-20,Inactive,-79.3669906,43.7129848,2016,May,Spring
142,Castleview Wychwood Towers - 2W,351 Christie St,LTCH,Respiratory,Influenza A,2016-05-03,2016-05-08,Inactive,-79.42113793274277,43.673349,2016,May,Spring
143,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza B,2016-05-02,2016-05-11,Inactive,-79.5098225,43.687805,2016,May,Spring
144,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2016-05-02,2016-05-20,Inactive,-79.3792695,43.7235801,2016,May,Spring
145,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Influenza B,2016-05-02,2016-05-16,Inactive,-79.3726983,43.8083147,2016,May,Spring
146,Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2016-04-27,2016-05-15,Inactive,-79.3792695,43.7235801,2016,April,Spring
147,Sunnybrook Health Sciences Centre - D6,2075 Bayview Ave,Hospital-Acute Care,Enteric,Clostridium difficile,2016-04-26,2016-05-04,Inactive,-79.3792695,43.7235801,2016,April,Spring
148,The O'Neill Centre,33 Christie St,LTCH,Respiratory,Respiratory syncytial virus,2016-04-26,2016-05-06,Inactive,-79.4186528,43.6647391,2016,April,Spring
149,Cedarbook Lodge Retirement Residence - 2nd & 3rd Fl,520 Markham Rd,Retirement Home,Respiratory,Influenza B,2016-04-23,2016-05-01,Inactive,-79.2241579,43.7554562,2016,April,Spring
