_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
44,Baycrest Hospital - 6RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2023-11-20,,Y
45,Centre For Addiction and Mental Health - Unit 1 & 2,1001 Queen St West,Hospital-Psychiatric,Respiratory,COVID-19,,2023-11-20,2023-11-26,N
46,Deerwood Creek Care Community - 3rd Fl (3A & 3B),70 Humberline Dr,LTCH,Respiratory,COVID-19,,2023-11-20,2023-11-27,N
47,Donway Place,8 The Donway E,LTCH,Respiratory,COVID-19,,2023-11-20,,Y
48,Midland Gardens Care Community - 4th Fl,130 Midland Ave,LTCH,Respiratory,COVID-19,,2023-11-20,,Y
49,New Horizons Tower - 2nd Fl,1140 Bloor St W,Retirement Home,Respiratory,COVID-19,,2023-11-20,,Y
50,Trillium Health Partners - McCall Centre For Continuing Care - 3rd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Parainfluenza,Rhinovirus,2023-11-20,,Y
51,Trillium Health Partners - McCall Continuing Care - 3rd Fl,140 Sherway Drive,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-20,,Y
52,Unity Health Toronto - St. Joseph's - 5M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2023-11-20,2023-11-27,N
53,"Nisbet Lodge - 4th, 8th, 10th & 11th Fl",740 Pape Ave,LTCH,Respiratory,COVID-19,,2023-11-19,,Y
54,Sts. Peter and Paul Residence - Ground Fl,221 Milner Ave,Retirement Home,Respiratory,COVID-19,,2023-11-18,,Y
55,Villa Colombo Homes for the Aged - 2 Fusco,40 Playfair Ave,LTCH,Respiratory,COVID-19,,2023-11-18,,Y
56,Bendale Acres - 5th Fl,2920 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2023-11-17,,Y
57,Extendicare Scarborough - Scarborough - 1 North,3830 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2023-11-17,2023-11-28,N
58,Ina Grafton Gage Home - Scarborough - 1st Fl Memory Unit,40 Bell Estate Rd,LTCH,Respiratory,COVID-19,,2023-11-17,2023-11-29,N
59,Toronto East Health Network - 1st Fl East,500 Kingston Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-17,,Y
60,University Health Network - Bickle Centre -  5A & 5B North,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-17,2023-11-25,N
61,University Health Network - Bickle Centre - S4,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-17,,Y
62,University Health Network - Lyndhurst - 1A,520 Sutherland Drive,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-17,,Y
63,Bayshore - 5th & 6th Fl,221 Milner Ave,Retirement Home,Respiratory,COVID-19,,2023-11-16,,Y
64,Unity Health Toronto - St. Joseph's - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2023-11-16,,Y
65,Hellenic Home - Ground & 2A,2411 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2023-11-15,,Y
66,Unity Health Toronto - St. Joseph's - 2E,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2023-11-15,2023-11-24,N
67,Cedarbrook Lodge TCU - Transitional Care Unit - 6th Fl,520 Markham Rd,Transitional Care,Respiratory,COVID-19,,2023-11-14,,Y
68,Craiglee Nursing Home - 1 West & 3 East,102 Craiglee Dr,LTCH,Respiratory,COVID-19,,2023-11-14,2023-11-24,N
69,Fieldstone Commons Care Community - 3A,1000 Ellesmere Rd,LTCH,Respiratory,COVID-19,,2023-11-14,,Y
70,Kennedy Lodge - 2 South,1400 Kennedy Rd,LTCH,Respiratory,COVID-19,,2023-11-14,,Y
71,Unity Health Toronto - Providence - Adult Day Program,3276 St. Clair Ave East,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-14,2023-11-24,N
72,Arirang Korean Long Term Care - 4th Fl,17 Maplewood Ave,LTCH,Respiratory,COVID-19,,2023-11-13,,Y
73,Cedarbrook Lodge Retirement Residence - 3rd & 5th Fl,520 Markham Rd,Retirement Home,Respiratory,COVID-19,,2023-11-13,,Y
74,Centennial Park Place - 1st Fl,25 Centennial Park Rd,Retirement Home,Respiratory,COVID-19,,2023-11-13,2023-11-27,N
75,Centre for Addiction and Mental Health - Queen Street Site - Unit 1-4,1001 Queen St West,Hospital-Psychiatric,Respiratory,COVID-19,,2023-11-13,,Y
76,Chartwell Gibson Long Term Care Residence - 3rd Fl,1925 Steeles Ave E,LTCH,Respiratory,COVID-19,,2023-11-13,,Y
77,Craiglee Nursing Home - 2nd Fl,102 Craiglee Dr,LTCH,Respiratory,Respiratory syncytial virus,,2023-11-13,,Y
78,Leaside Retirement Residence - 5th & 6th Fl,10 -14 William Morgan Drive,LTCH,Respiratory,COVID-19,,2023-11-13,,Y
79,Southlake Regional Health Centre - RCC Finch - 6 West,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-13,,Y
80,The Briton House - Toronto - 3rd & 4th Fl (North Tower),700 & 720 Mount Pleasant Rd,Retirement Home,Respiratory,COVID-19,,2023-11-13,,Y
81,The Village Of Humber Heights - Weston Neighbourhood,2245 Lawrence Ave W,LTCH,Respiratory,Unable to identify,,2023-11-13,2023-11-27,N
82,Toronto East Health Network - AHF - 2nd Fl West,500 Kingston Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-13,,Y
83,Baycrest Hospital - 5 West,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-12,2023-11-23,N
84,The Jewish Home for the Aged - 2RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2023-11-12,2023-11-27,N
85,The Jewish Home for the Aged - 3RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2023-11-12,2023-11-25,N
86,Nisbet Lodge - 8th Fl,740 Pape Ave,LTCH,Respiratory,COVID-19,,2023-11-11,2023-11-20,N
87,The Kensington Gardens - 1 East,25 Brunswick Ave,LTCH,Respiratory,COVID-19,,2023-11-11,2023-11-22,N
88,Humber Valley - 2nd Fl,95 Humber College Blvd,LTCH,Respiratory,Rhinovirus,,2023-11-10,2023-11-24,N
89,The Kensington Gardens - 2E (North Building),45 Brunswick Ave,LTCH,Respiratory,COVID-19,,2023-11-09,,Y
90,Unity Health Toronto - Providence - A5,3276 St. Clair Ave East,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-09,2023-11-17,N
91,Belmont House - 2WW,55 Belmont St,LTCH,Respiratory,Unable to identify,,2023-11-08,2023-11-23,N
92,Lakeshore Lodge - 2 South & 4 South,3197 Lakeshore Blvd W,LTCH,Respiratory,COVID-19,,2023-11-08,,Y
93,Chartwell Westbury Long Term Care Residence - 8th Fl,495 The West Mall,LTCH,Respiratory,COVID-19,,2023-11-07,2023-11-20,N
94,North York General Hospital - General Site - 3N,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,,2023-11-07,2023-11-17,N
95,Scarborough Health Network - Scarborough General - CP4,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,,2023-11-07,,Y
96,The O'Neill Centre - 3rd & 4th Fl,33 Christie St,LTCH,Respiratory,COVID-19,,2023-11-07,2023-11-24,N
97,Unity Health Toronto - Providence - B5,3276 St. Clair Ave East,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-07,2023-11-19,N
98,Unity Health Toronto - St. Joseph's - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2023-11-07,,Y
99,Canterbury Place Retirement Residence - 14th & 17th Fl,1 Canterbury Pl,Retirement Home,Respiratory,COVID-19,,2023-11-06,2023-11-24,N
100,Chartwell Grenadier Retirement Residence - Unit A2,2100 Bloor St W,LTCH,Respiratory,COVID-19,,2023-11-06,2023-11-13,N
101,Extendicare Rouge Valley - Clark House Unit & 1st Fl,551 Conlins Rd,LTCH,Respiratory,COVID-19,,2023-11-06,,Y
102,Lakeside Long Term Care Home,150 Dunn Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2023-11-06,2023-11-24,N
103,Seven Oaks - 2nd & 3rd Fl,9 Neilson Rd,LTCH,Respiratory,COVID-19,,2023-11-06,2023-11-27,N
104,The Wexford - 7th Fl,1860 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2023-11-06,2023-11-20,N
105,University Health Network - Bickle Centre - N3 TCU,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-06,,Y
106,Villa Colombo - 4 Fusco & 1 Fidani,40 Playfair Ave,LTCH,Respiratory,Parainfluenza,,2023-11-06,2023-11-22,N
107,"Yee Hong Centre - Scarborough Finch - 3rd, 5th & 6th Fl",60 Scottfield Dr,LTCH,Respiratory,COVID-19,,2023-11-06,2023-11-22,N
108,Toronto East Health Network - Michael Garron Hospital - A2,825 Coxwell Ave,Hospital-Acute Care,Respiratory,COVID-19,,2023-11-05,2023-11-13,N
109,Sunnybrook Health Sciences Centre - Bayview Campus - D6,2075 Bayview Ave,Hospital-Acute Care,Respiratory,COVID-19,,2023-11-04,2023-11-13,N
110,Belmont House - 2WW & 3WW,55 Belmont St,LTCH,Respiratory,COVID-19,,2023-11-03,2023-11-20,N
111,Chartwell Gibson Long Term Care Residence - 4th Fl,1955 Steeles Ave E,LTCH,Respiratory,Pending,,2023-11-03,,Y
112,Harmony Hills Care Community - 3B,1800 O'Connor,LTCH,Respiratory,Unable to identify,,2023-11-03,2023-11-20,N
113,The Jewish Home for the Aged - 2RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2023-11-03,2023-11-10,N
114,Humber Meadows Long Term Care Home - 5th Fl (Douglas Fir South),2109 Finch Ave W,LTCH,Respiratory,COVID-19,,2023-11-02,,Y
115,Sinai Health System - Mount Sinai Hospital - NICU,600 University Ave,Hospital-Acute Care,Other,Group B Streptococcal disease (neonatal),,2023-11-02,,Y
116,Sts. Peter and Paul Residence - 3rd Fl,221 Milner Ave,Retirement Home,Respiratory,COVID-19,,2023-11-02,2023-11-10,N
117,The Millwood - 4th Fl,921 Millwood Rd,LTCH,Respiratory,COVID-19,,2023-11-02,2023-11-13,N
118,Unity Health Toronto - Houses of Providence - Hop 1W - Balsam & Maple,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,,2023-11-02,2023-11-09,N
119,Kensington Place Retirement Residence - 4th & 6th Fl,866 Sheppard Ave,Retirement Home,Respiratory,COVID-19,,2023-11-01,2023-11-14,N
120,McCall Centre Long Term Care Interim Unit - LTC Unit,140 Sherway Drive,LTCH,Respiratory,COVID-19,,2023-11-01,2023-11-13,N
121,Mon Sheong Home for the Aged - 5th Fl,36 D'Arcy St,LTCH,Respiratory,Unable to identify,,2023-11-01,2023-11-09,N
122,Rockcliffe Care Community - Ground & 2nd Fl,3015 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2023-11-01,2023-11-11,N
123,Sunnybrook Health Sciences - RCC Church - A3S,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-01,2023-11-09,N
124,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,COVID-19,,2023-11-01,2023-11-15,N
125,The Annex,123 Spadina Rd,Retirement Home,Respiratory,COVID-19,,2023-11-01,2023-11-20,N
126,The Russell Hill Retirement Residence - 6th & 7th Fl,262 St. Clair Ave W,Retirement Home,Respiratory,COVID-19,,2023-11-01,2023-11-09,N
127,Amica Bayview Gardens,19 Rean Dr,Retirement Home,Respiratory,COVID-19,,2023-10-31,2023-11-24,N
128,Chartwell Avondale Retirement Residence - 2nd Fl,1238 Queen St,Retirement Home,Respiratory,COVID-19,,2023-10-31,2023-11-20,N
129,Chester Village - 2E,3555 Danforth Ave,LTCH,Respiratory,COVID-19,,2023-10-31,,Y
130,Norwood Nursing Home,122 Tyndall Ave,LTCH,Respiratory,COVID-19,,2023-10-31,2023-11-20,N
131,Villa Colombo Homes for the Aged - 4 Fidani,40 Playfair Ave,LTCH,Respiratory,COVID-19,,2023-10-31,2023-11-12,N
132,Westside LTC - 3rd Fl,1145 Albion Rd,LTCH,Respiratory,Influenza A (Not subtyped),,2023-10-31,2023-11-14,N
133,Belmont House,55 Belmont St,Retirement Home,Respiratory,COVID-19,,2023-10-30,2023-11-20,N
134,Bendale Acres - 6th Fl,2920 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2023-10-30,2023-11-16,N
135,Fountain View Care Community - 1st Fl - Terrace Home Area,1800 O'Connor Dr,LTCH,Respiratory,Parainfluenza,Rhinovirus,2023-10-30,2023-11-16,N
136,Harmony Hills Care Community,1800 O'Connor Drive,LTCH,Respiratory,COVID-19,,2023-10-30,2023-11-28,N
137,"McCowan Retirement Residence - 2nd, 4th & 5th Fl",2881 Eglinton Ave E,Retirement Home,Respiratory,COVID-19,,2023-10-30,2023-11-27,N
138,The Village of Humber Heights,2245 Lawrence Ave W,LTCH,Respiratory,COVID-19,,2023-10-30,,Y
139,University Health Network - Toronto Western - 8A,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,,2023-10-30,2023-11-06,N
140,Baycrest Hospital - 4 East,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-27,2023-11-06,N
141,Fountain View Care Community - 2nd Fl Breezeway & Lakeside,1800 O'Connor Dr,LTCH,Respiratory,COVID-19,,2023-10-27,,Y
142,"Humber Valley - Unit 1, 3rd Fl",95 Humber College Blvd,LTCH,Respiratory,Rhinovirus,,2023-10-27,2023-11-14,N
143,Mon Sheong Scarborough Long Term Care Centre - Ground Fl South,2030 McNicoll Ave,LTCH,Respiratory,COVID-19,,2023-10-27,2023-11-13,N
144,North York General Hospital - General Site - 5W,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,,2023-10-27,2023-11-07,N
145,Rayoak Place - South-East & North-West Wing,1340 York Mills Rd,Retirement Home,Respiratory,COVID-19,,2023-10-27,2023-11-09,N
146,The Jewish Home for the Aged - 3GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2023-10-27,2023-11-04,N
147,Toronto East Health Network - Michael Garron Hospital - A3,825 Coxwell Ave,Hospital-Acute Care,Respiratory,COVID-19,,2023-10-27,2023-11-05,N
148,William Osler Health System - RCC Church - RCU - WOHS Unit,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-27,2023-11-06,N
149,Chartwell Grenadier Retirement Residence - Unit A3,2100 Bloor St W,Retirement Home,Respiratory,COVID-19,,2023-10-26,2023-11-03,N
150,Chartwell Westbury Long Term Care Residence - 8th Fl,495 The West Mall,LTCH,Respiratory,COVID-19,,2023-10-26,2023-11-06,N
151,Tapestry at Village Gate West - 2nd & 9th Fl,15 Summerland Terr,Retirement Home,Respiratory,COVID-19,,2023-10-26,2023-11-02,N
152,Weston Gardens Retirement Residence,303 Queens Dr,Retirement Home,Respiratory,COVID-19,,2023-10-26,,Y
153,Chartwell Avondale Retirement Residence - 2nd & 4th Fl,1238 Queen St,Retirement Home,Respiratory,COVID-19,,2023-10-25,2023-11-02,N
154,Kennedy Lodge - 3 South,1400 Kennedy Rd,LTCH,Respiratory,COVID-19,,2023-10-25,2023-11-06,N
155,Delmanor Prince Edward,4180 Dundas St W,Retirement Home,Respiratory,COVID-19,,2023-10-24,2023-11-10,N
156,Eatonville Care Centre,420 The East Mall,LTCH,Respiratory,COVID-19,,2023-10-24,2023-11-17,N
157,Unity Health Toronto - St. Joseph's - 4LM,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2023-10-24,2023-10-30,N
158,Cummer Lodge - 2N & 4S,205 Cummer Ave,LTCH,Respiratory,COVID-19,,2023-10-23,2023-11-19,N
159,Leaside Retirement Residence - 3rd & 6th Fl Building 10,10 -14 William Morgan Drive,Retirement Home,Respiratory,COVID-19,,2023-10-23,2023-11-08,N
160,Seven Oaks - 4th Fl,9 Neilson Rd,LTCH,Respiratory,COVID-19,,2023-10-23,2023-11-04,N
161,Sherbourne Place - 2nd Fl,345 Sherbourne St,LTCH,Respiratory,COVID-19,,2023-10-23,2023-11-27,N
162,The Jewish Home for the Aged - 2GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2023-10-23,2023-10-31,N
163,True Davidson Acres - 1st Fl,200 Dawes Rd,LTCH,Respiratory,COVID-19,,2023-10-23,2023-11-13,N
164,University Health Network - Toronto Western - 4B,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,,2023-10-23,2023-11-11,N
165,University Health Network - Transitional Care Program - Queens Estate - 6th Fl,265 Queens Dr,Transitional Care,Respiratory,COVID-19,,2023-10-23,2023-10-28,N
166,Chartwell Gibson Long Term Care Residence - 3rd Fl,1925 Steeles Ave E,LTCH,Respiratory,Influenza A (H1N1),,2023-10-22,2023-10-31,N
167,Lakeshore Lodge - 4th Fl,3197 Lakeshore Blvd W,LTCH,Respiratory,COVID-19,,2023-10-22,2023-10-30,N
168,Shepherd Lodge - 5th Fl,3760 Sheppard Ave East,LTCH,Respiratory,COVID-19,,2023-10-22,2023-11-07,N
169,Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,COVID-19,,2023-10-21,2023-11-08,N
170,"Hawthorne Place Care Centre - 1 Maple Lane, 3 Lily Way & 3 Pine Lane Unit",2045 Finch Ave W,LTCH,Respiratory,COVID-19,,2023-10-20,2023-11-15,N
171,North York General Hospital - General Site - 5SE,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,,2023-10-20,2023-11-02,N
172,Yee Hong Centre - Scarborough Finch - 2nd Fl,60 Scottfield Dr,LTCH,Respiratory,Respiratory syncytial virus,,2023-10-20,2023-11-16,N
173,Yee Hong Centre - Scarborough McNicoll - Ground Fl,2311 McNicoll Ave,LTCH,Respiratory,COVID-19,,2023-10-20,2023-11-20,N
174,Bethseda Home,67 Belgreen Ave,Retirement Home,Respiratory,COVID-19,,2023-10-19,2023-10-24,N
175,Chartwell Trilogy - 4th & 7th Fl,340 McCowan Rd,LTCH,Respiratory,Respiratory syncytial virus,,2023-10-19,2023-11-01,N
176,Chartwell Trilogy Long Term Care Residence - 7th Fl,340 McCowan Rd,LTCH,Respiratory,COVID-19,,2023-10-19,,Y
177,The Jewish Home for the Aged - Apotex 2EI,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2023-10-19,2023-10-30,N
178,West Park Healthcare Centre - 3WE,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-19,2023-10-26,N
179,Copernicus Lodge,66 Roncesvalles Ave,LTCH,Respiratory,COVID-19,,2023-10-18,2023-11-06,N
180,Fairfield Residence - 2nd Fl,10 Fairfield Ave,Retirement Home,Respiratory,COVID-19,,2023-10-18,2023-10-27,N
181,Parkland on Eglinton West - 2nd Fl,4650 Eglinton Ave West,LTCH,Respiratory,COVID-19,,2023-10-18,2023-10-25,N
182,Unity Health Toronto - Providence - B4,3276 St. Clair Ave East,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-18,2023-10-30,N
183,Belmont House - 2E,55 Belmont St,LTCH,Respiratory,Rhinovirus,,2023-10-17,2023-10-28,N
184,Centennial Park Place - 1st Fl,25 Centennial Park Rd,Retirement Home,Respiratory,COVID-19,,2023-10-17,2023-10-26,N
185,The Dunfield Retirement Residence - 14th & 15th Fl,77 Dunfield Ave,Retirement Home,Respiratory,COVID-19,,2023-10-17,2023-10-30,N
186,Unity Health Toronto - Houses of Providence - HOP 1W - Balsam & Maple,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,,2023-10-17,2023-10-30,N
187,Chartwell Scarlett Heights Retirement Residence - 2nd Fl (Memory Fl Lane),4005 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,,2023-10-16,2023-10-26,N
188,Donway Place - 2nd Fl,8 The Donway E,Retirement Home,Respiratory,Rhinovirus,,2023-10-16,2023-10-20,N
189,"Forest Hill Place - 3rd, 4th, 5th, 6th & 7th Fl",645 Castlefield Ave,Retirement Home,Enteric,Unable to identify,,2023-10-16,2023-10-25,N
190,Fountain View Care Community - 2nd Fl - Breezeway,1800 O'Connor Dr,LTCH,Respiratory,COVID-19,,2023-10-16,2023-10-20,N
191,Fudger House,439 Sherbourne St,LTCH,Respiratory,Rhinovirus,,2023-10-16,2023-11-10,N
192,Maynard Nursing Home,28 Halton St,LTCH,Respiratory,COVID-19,,2023-10-16,2023-11-06,N
193,Scarborough Health Network - Centenary - 3MBW,2867 Ellesmere Rd,Hospital-Acute Care,Respiratory,COVID-19,,2023-10-16,2023-10-25,N
194,Runnymede Healthcare Centre - 4E,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-15,2023-10-24,N
195,Labdara Lithuanian Nursing Home - 1st Fl,5 Resurrection Rd,LTCH,Respiratory,COVID-19,,2023-10-14,2023-11-02,N
196,The Annex - 5th Fl,123 Spadina Rd,Retirement Home,Respiratory,COVID-19,,2023-10-14,2023-10-24,N
197,Extendicare Bayview - West Unit,550 Cummer Ave,LTCH,Respiratory,COVID-19,,2023-10-13,2023-10-26,N
198,Runnymede Healthcare Centre - 2W,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-13,2023-10-20,N
199,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - K2C,2075 Bayview Ave,LTCH,Respiratory,COVID-19,,2023-10-12,2023-10-28,N
200,Wesburn Manor - 3N & 3S,400 The West Mall,LTCH,Respiratory,Rhinovirus,,2023-10-12,2023-10-23,N
201,Runnymede Healthcare Centre - 3W,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-11,2023-10-25,N
202,Unity Health Toronto - Providence - B3,3276 St. Clair Ave East,Hospital-Chronic Care,Respiratory,COVID-19,,2023-10-11,2023-10-25,N
